803239820-00;Athos Q Velit 
250710442-00;Alex W Cadar
651444946-00;Joao Victor Q Barbosa 
501543112-00;Alexander T Souza 
470767561-00;Wernen X Cadar
790703870-00;Nicole A Abdalla
675728355-00;Ian N de Paiva
740514266-00;Ian Q Barros
116942002-00;Rodrigo I Duarte de Carvalho
664293698-00;Victor Hugo G Gabriel
470656050-00;Luís Otávio B Diniz
266150078-00;Wernen M Pereira
594273282-00;Ian A Freire
590376347-00;Wernen U Barbosa 
159269616-00;Ana Luiza P Carvalho
149405299-00;Pedro X Santos
683808105-00;Felipe U Pereira
746316172-00;Lucas Z Bertolini
220200561-00;Nicole V de Paiva
267330904-00;Guilherme Henrique Z Castilho 
570418713-00;Rafael K Bertolini
246521479-00;Douglas T Duarte de Carvalho
673594188-00;Patryck Z Furtado 
583647539-00;Vinicius J Candido
795717174-00;Vinicius L Araujo
818114878-00;Daniela F Heredia 
540887046-00;Rodrigo X Pereira
630505441-00;Patryck T Villani
888012475-00;Luis Paulo L Duarte de Carvalho
113327388-00;Ian K Abdalla
611315228-00;Caio P Candido
507404162-00;Felipe K Guimarães
434777574-00;Ana Luiza Q de Paula
834219319-00;Ítalo B Rodrigues 
528971437-00;Joao Victor N de Castro 
170385667-00;Alexander D Rodrigues 
438870594-00;Rafael M Silvino 
318887213-00;Ítalo M Duarte de Carvalho
564582042-00;Marcus W Duarte de Carvalho
275790425-00;Victor Henrique A de Paiva
142870496-00;Lucas G Freire
504427543-00;Felipe B Castilho 
237532698-00;Pedro R Santos
862578579-00;Lucas Y de Jesus
813280012-00;Yuske X Pacheco 
718508087-00;Alexander R Gabriel
457188467-00;Vinicius N Castilho 
811370060-00;Douglas Q Cadar
629027403-00;Alan C Furtado 
740311940-00;Ian W Velit 
253065848-00;Patryck U Candido
670006301-00;Patryck H Silvino 
629445905-00;Willian I Maciel
224552135-00;Guilherme Henrique P Arruda
763539288-00;Luiz Henrique R Barros
687217447-00;Ítalo T Gabriel
818891382-00;Douglas G Pereira
396725867-00;Vinicius F Massula
120414276-00;Victor Hugo Q Costa
609694263-00;Wernen Z Maciel
429515798-00;Douglas G Velit 
848433236-00;Mateus Y Pereira
457299433-00;Rodrigo Q Bertolini
841411747-00;Victor Hugo E de Paula
357255042-00;Victor Hugo H Barbosa 
116276584-00;Matheus Y Pacheco 
602987146-00;Lucas B Furtado 
542735638-00;Yuske Q de Castro 
124235557-00;Ítalo T Miranda
647453622-00;Nicole W Castilho 
752544874-00;Pedro E Diniz
143506296-00;Ítalo F de Paula
883043059-00;Bruno D Candido
470389779-00;Guilherme T Villani
317413722-00;Matheus T de Paiva
565009261-00;Guilherme Q Abdalla
380408681-00;Vinicius O Massula
337299376-00;Lucas F Villani
646455193-00;Filipe W Barros
320095608-00;Bruno E Duarte de Carvalho
247596182-00;Bruno T Freire
662803681-00;Mariana K Maciel
517412944-00;Mateus C Duarte de Carvalho
830547024-00;Breno M Arruda
545672638-00;Rafael A Oliveira
744822131-00;Felipe B Souza 
829520232-00;Mateus S de Paiva
723709940-00;Patryck Z Bertolini
652300355-00;Filipe V Barbosa 
848319225-00;Alex R Diniz
269165609-00;Marcus Y Freire
575115510-00;Alex H Gabriel
742199806-00;Breno H Santos
221781954-00;Bruno Q Miranda
849603346-00;Nicole K Furtado 
605221570-00;Felipe R Duarte de Carvalho
165152799-00;Vinicius J Pacheco 
315878817-00;Mariana A de Paiva
320276715-00;Rodrigo V Pacheco 
216829949-00;Vinicius W Arruda
509876103-00;Guilherme H Duarte de Carvalho
722117748-00;Douglas M Gabriel
292670412-00;Patryck P Vasconcelos
110435563-00;Luciano V Duarte de Carvalho
325908385-00;Ítalo H de Paula
110960463-00;Athos N Santos
667596050-00;Lucas T Freire
599465149-00;Filipe C de Castro 
561028281-00;Marcus H Pereira
305579852-00;Alexander D Velit 
158789070-00;Guilherme S Velit 
171700870-00;Luís Otávio X Barbosa 
763473834-00;Marcus P Barros
796757769-00;Marcus J de Castro 
527689198-00;Bruno W Arruda
320178550-00;Luís Otávio A Diniz
125294064-00;Pedro C Cadar
484358865-00;Breno A Costa
794561150-00;Filipe V Barros
796855437-00;Alan P Oliveira
380391213-00;Felipe U Freire
411441381-00;Ana Luiza S de Castro 
760826440-00;Daniela A Maciel
662405043-00;Caio Y Bertolini
718034723-00;Ana Luiza S de Jesus
887427149-00;Athos R Cadar
435427678-00;Lucas H de Castro 
257804324-00;Daniela H Pacheco 
379420037-00;Douglas H Costa
256621691-00;Yuske Z Freire
494293192-00;Breno F Maciel
213461969-00;Wernen F Pereira
823951597-00;Joao Victor C Arruda
265394396-00;Luiz Henrique A Carvalho
724396138-00;Patryck J Rodrigues 
706026370-00;Wernen F Gabriel
690912356-00;Luciano H Villani
345417070-00;Rafael E Silvino 
583891716-00;Ítalo M Heredia 
222388941-00;Bruno V Abdalla
462227666-00;Victor Henrique D Massula
306989473-00;Yuske B Candido
456153348-00;Vinicius Q Bertolini
135399544-00;Willian C Maciel
333371176-00;Joao Victor X de Jesus
119281350-00;Luciano C Rodrigues 
663142283-00;Victor Hugo F Gabriel
404677520-00;Victor Henrique I Pereira
455446435-00;Joao Victor K de Jesus
297385867-00;Filipe F Heredia 
762308458-00;Victor Henrique N Velit 
497051704-00;Yuske X Miranda
142971380-00;Daniela J Candido
726088408-00;Alexander G Miranda
700174020-00;Guilherme Henrique K Gomes 
739536862-00;Pedro R Diniz
393052743-00;Alex S Silvino 
174090846-00;Guilherme P Cadar
331293856-00;Daniela A Arruda
386496419-00;Daniela N Gabriel
447038889-00;Norton C Souza 
757259278-00;Wernen J Rodrigues 
184764324-00;Victor Hugo B Miranda
170992634-00;Mateus Z Barbosa 
388026373-00;Felipe Q Costa
690963613-00;Luís Otávio H Miranda
506546308-00;Bruno K Santos
157800234-00;Luis Paulo S Carvalho
751134383-00;Luiz Henrique Z Araujo
689666436-00;Matheus C Carvalho
454437001-00;Alexander Z Silvino 
383331638-00;Lucas Y Diniz
792903422-00;Breno I Sathler
570719395-00;Alex D Massula
252361180-00;Douglas J Souza 
866946880-00;Marcus R Gomes 
412451353-00;Caio L Rodrigues 
357700157-00;Guilherme Henrique B da Silva
142473181-00;Filipe W Candido
258356233-00;Vinicius B de Paiva
428824534-00;Daniela S Arruda
116011332-00;Wernen S Bertolini
376748822-00;Patryck Q Furtado 
255118010-00;Felipe K Gomes 
867810605-00;Filipe G Bertolini
724649275-00;Alexander E Pacheco 
673961931-00;Luciano I Arruda
120853389-00;Luiz Henrique Z Gabriel
244827892-00;Luis Paulo V Carvalho
425514640-00;Lucas U Bertolini
308876460-00;Joao Victor V Miranda
574802596-00;Isadora A Pereira
586282033-00;Patryck S Santos
765411429-00;Athos N de Jesus
249036595-00;Daniela F Santos
384493772-00;Rafael K Santos
469226516-00;Luís Otávio M Carvalho
413025954-00;Alex C Abdalla
119223089-00;Ian S Velit 
383722363-00;Patryck E Maciel
138296889-00;Willian A Oliveira
887386115-00;Caio K Diniz
461183703-00;Mateus U da Silva
188720210-00;Yuske F Pacheco 
377482200-00;Wernen I Duarte de Carvalho
185875830-00;Mateus S Pereira
744861303-00;Victor Henrique R Vasconcelos
421434291-00;Lucas X Guimarães
357276843-00;Guilherme Henrique S Pereira
577410182-00;Patryck R Magalhães
362595548-00;Alexander D de Castro 
114466331-00;Norton H Guimarães
381247397-00;Willian S Arruda
736570937-00;Victor Henrique N de Castro 
388161187-00;Douglas Z Abdalla
392254771-00;Alan E Duarte de Carvalho
243925109-00;Rafael Y Freire
508919847-00;Ana Luiza M Barros
835605797-00;Ítalo C Duarte de Carvalho
676976222-00;Isadora J Heredia 
329847366-00;Alan E Barbosa 
272452747-00;Daniela K Cadar
639653685-00;Ítalo K Magalhães
528444313-00;Luciano R Freire
733175561-00;Joao Victor A Oliveira
334282205-00;Ítalo V Gabriel
429153297-00;Ian R Abdalla
132410142-00;Ana Luiza B Pacheco 
594024636-00;Alex D Furtado 
744982839-00;Guilherme Q Bertolini
669865702-00;Pedro C Velit 
597140961-00;Luis Paulo T Costa
427754851-00;Marcus B Heredia 
253333646-00;Matheus K Rodrigues 
374903636-00;Willian Q Diniz
602971754-00;Daniela L Castilho 
855324790-00;Luiz Henrique G Souza 
784646435-00;Rafael I Santos
250420942-00;Luciano W Guimarães
538592442-00;Luís Otávio V Freire
287003784-00;Alexander G Magalhães
195559941-00;Patryck A Costa
375093193-00;Alexander I Costa
573072213-00;Breno G Araujo
299827717-00;Ian R Heredia 
689391468-00;Victor Henrique S Sathler
814464336-00;Lucas K Miranda
888000933-00;Alan R Magalhães
590848449-00;Yuske U Abdalla
301500908-00;Filipe V Sathler
496934654-00;Mariana K Arruda
513079320-00;Joao Victor V Sathler
855815202-00;Mariana R Arruda
718310140-00;Matheus R Guimarães
646223671-00;Patryck P Sathler
768432163-00;Ítalo G Maciel
729046173-00;Victor Hugo G Candido
202881949-00;Joao Victor O Gabriel
400145564-00;Vinicius N Duarte de Carvalho
602399293-00;Mateus T Arruda
720227158-00;Ana Luiza J Furtado 
667086363-00;Luciano K Costa
183650148-00;Guilherme G Cadar
101897737-00;Patryck I Pereira
525401856-00;Matheus X Magalhães
176337465-00;Douglas Y Massula
593020016-00;Mariana T Carvalho
104794308-00;Breno A Heredia 
814175314-00;Luciano Q de Jesus
434390418-00;Luís Otávio X Maciel
232682490-00;Lucas R Velit 
656362239-00;Mariana C de Paiva
688993665-00;Matheus I Costa
825664203-00;Joao Victor U de Paiva
473904612-00;Caio B Cadar
494823823-00;Athos V Castilho 
835160736-00;Rodrigo J Costa
548926723-00;Luis Paulo G Furtado 
465663739-00;Guilherme G Diniz
513679371-00;Pedro B de Paiva
337454706-00;Ian W Diniz
264452095-00;Luís Otávio E Souza 
754534366-00;Luciano X Barbosa 
701517388-00;Victor Hugo W Castilho 
599806045-00;Ian P Gabriel
314903664-00;Guilherme Henrique D Massula
636806593-00;Ian O Sathler
228278311-00;Joao Victor C Maciel
869760979-00;Joao Victor I Oliveira
161834346-00;Alan O da Silva
665350718-00;Isadora N Castilho 
738217861-00;Daniela N de Castro 
177095548-00;Luciano B Souza 
223603655-00;Luis Paulo F Costa
764805815-00;Caio H Araujo
360281174-00;Marcus C Carvalho
853532403-00;Luiz Henrique F Massula
104924838-00;Alex U Sathler
603679293-00;Victor Hugo D Duarte de Carvalho
715530864-00;Vinicius S Massula
877790702-00;Guilherme Henrique X Guimarães
117915003-00;Patryck G Sathler
789716027-00;Rodrigo R Furtado 
267456519-00;Marcus X Vasconcelos
649799696-00;Guilherme Henrique H Costa
206750066-00;Guilherme Henrique O Freire
239893508-00;Victor Hugo R de Castro 
865123461-00;Marcus G Velit 
306024423-00;Guilherme Henrique X Magalhães
807537587-00;Breno U Heredia 
816634830-00;Filipe F Maciel
215206920-00;Bruno U de Castro 
739646432-00;Luiz Henrique G Magalhães
856139128-00;Rafael C Maciel
341193516-00;Daniela R Diniz
830854992-00;Nicole Y Castilho 
461162843-00;Luis Paulo S Furtado 
812610068-00;Rafael L Maciel
536638201-00;Joao Victor U Gomes 
382958494-00;Guilherme O Furtado 
867808631-00;Vinicius R Freire
112778759-00;Isadora B Souza 
747994400-00;Alexander W de Castro 
172647524-00;Isadora P Barros
487157000-00;Filipe I Duarte de Carvalho
175278329-00;Wernen F de Castro 
225171925-00;Ana Luiza P Barros
705517032-00;Guilherme B Gomes 
608606337-00;Luciano R Magalhães
447777615-00;Luiz Henrique O Bertolini
563717181-00;Yuske F da Silva
424980410-00;Willian Q Heredia 
505171353-00;Isadora H Oliveira
372534814-00;Vinicius P Candido
835298495-00;Luis Paulo V Bertolini
399242930-00;Vinicius Q Gabriel
839832978-00;Alexander X Diniz
168295208-00;Bruno Q de Castro 
161888563-00;Daniela M Costa
650350194-00;Bruno W Silvino 
314069273-00;Alexander Y Santos
196319496-00;Luiz Henrique R Vasconcelos
774457660-00;Isadora X Diniz
363717140-00;Bruno G Santos
700038470-00;Patryck C Barbosa 
155451610-00;Daniela Z Candido
260030970-00;Alan S Gomes 
133476171-00;Ítalo U Barros
461672851-00;Guilherme Z da Silva
257648809-00;Ana Luiza M Heredia 
532855128-00;Joao Victor Y Oliveira
309273398-00;Luís Otávio X Pacheco 
710450008-00;Ana Luiza T Oliveira
789025731-00;Filipe J Barbosa 
527692029-00;Marcus Z Barbosa 
163473845-00;Willian F Duarte de Carvalho
647593687-00;Luciano D Santos
799592197-00;Bruno P de Castro 
361764885-00;Luis Paulo D Vasconcelos
414534019-00;Douglas I Maciel
612439936-00;Douglas Y Magalhães
731447935-00;Filipe H Magalhães
277650451-00;Luis Paulo G Miranda
474506638-00;Felipe B de Paula
602138703-00;Pedro Q Diniz
556130605-00;Luís Otávio X Barros
258120906-00;Bruno O da Silva
257305262-00;Yuske D Gabriel
185691374-00;Rafael Z de Paula
240468025-00;Pedro J Cadar
324389145-00;Pedro Z Arruda
307815585-00;Victor Hugo Z Rodrigues 
234706810-00;Victor Henrique L Costa
109575452-00;Vinicius Z Castilho 
749337842-00;Caio Y Araujo
727125050-00;Ian J Maciel
339332687-00;Luís Otávio Q Vasconcelos
328240673-00;Breno T Sathler
748364665-00;Nicole U Furtado 
248898626-00;Guilherme Henrique T da Silva
340626469-00;Douglas V Guimarães
131549877-00;Guilherme H Costa
545847707-00;Pedro L Miranda
257404175-00;Willian T Sathler
825291890-00;Douglas E Heredia 
589257933-00;Yuske L Santos
448364817-00;Luis Paulo J de Paiva
119986354-00;Mariana R Velit 
801550148-00;Athos T Furtado 
437699246-00;Mateus F da Silva
799767606-00;Felipe I Massula
649198539-00;Yuske W Souza 
349117739-00;Pedro M Velit 
697604456-00;Guilherme Henrique W Castilho 
466732730-00;Filipe Y Carvalho
635263849-00;Alex O Velit 
311304998-00;Alexander V Abdalla
240551653-00;Matheus L Massula
405674123-00;Douglas G Diniz
145458648-00;Mateus X Magalhães
762452423-00;Alex E Abdalla
193013990-00;Rafael O Massula
670367455-00;Breno R Pereira
172401654-00;Alexander F Barbosa 
704154845-00;Bruno C Araujo
293774957-00;Yuske N Barros
137627286-00;Isadora G Massula
770575932-00;Lucas Q Vasconcelos
414840250-00;Ian K da Silva
876901448-00;Rafael Y de Jesus
428898755-00;Wernen A Candido
128871782-00;Vinicius Q Barbosa 
680722937-00;Patryck J Sathler
186598171-00;Luis Paulo X Magalhães
584852670-00;Luis Paulo K de Jesus
441184427-00;Felipe N Magalhães
131797871-00;Alexander Z Barros
206678991-00;Ian B Abdalla
583902456-00;Norton A de Paiva
644554525-00;Breno Q Santos
645843935-00;Matheus M Oliveira
622228481-00;Patryck K Castilho 
585864926-00;Willian W Araujo
564382172-00;Athos Z Carvalho
303989481-00;Lucas H Velit 
507397293-00;Alex Z Vasconcelos
834538923-00;Lucas F Candido
402663792-00;Willian Y Gomes 
666092957-00;Isadora Q Magalhães
706620009-00;Douglas X Gomes 
186334440-00;Rodrigo T Barbosa 
227288153-00;Pedro U Castilho 
693695353-00;Yuske J Souza 
437513740-00;Alex P Costa
337499908-00;Isadora M Massula
607001921-00;Victor Henrique T da Silva
150428902-00;Felipe R de Castro 
584606865-00;Ian I Gabriel
100032682-00;Daniela S Castilho 
260524942-00;Vinicius V Oliveira
254983794-00;Ítalo X de Paiva
398375686-00;Caio P de Paula
450637177-00;Mariana C Abdalla
262074332-00;Joao Victor F Massula
420888483-00;Ana Luiza S Pereira
819311240-00;Alex U Velit 
440745686-00;Alan J Bertolini
862692228-00;Pedro K de Castro 
569194183-00;Guilherme J Cadar
629772637-00;Guilherme Henrique Y Silvino 
605569454-00;Guilherme Henrique F Oliveira
562990859-00;Yuske Y Rodrigues 
435727468-00;Mateus H Silvino 
652445578-00;Luís Otávio V Pereira
778462336-00;Guilherme Henrique W Sathler
790421091-00;Victor Henrique X Pereira
644916695-00;Willian A Silvino 
151948643-00;Douglas K Santos
303048412-00;Victor Hugo X Magalhães
172530374-00;Guilherme O Barros
400647065-00;Luiz Henrique V Araujo
803604846-00;Luís Otávio D de Paiva
696582350-00;Filipe K Pereira
741627746-00;Lucas R Heredia 
667636231-00;Daniela I Guimarães
755272131-00;Matheus C Pereira
410500133-00;Daniela P Guimarães
321544686-00;Isadora A Santos
266311772-00;Caio T Silvino 
622927294-00;Rodrigo E Bertolini
680062912-00;Breno O Magalhães
176867113-00;Luciano W Arruda
275347399-00;Isadora N Guimarães
781610624-00;Isadora O Candido
224547984-00;Yuske O de Castro 
108931060-00;Alexander Q Magalhães
253003757-00;Patryck X Barbosa 
619172606-00;Guilherme Henrique F Pacheco 
300445765-00;Isadora B Furtado 
197122542-00;Alexander G Araujo
185027204-00;Luiz Henrique T Magalhães
418598767-00;Luciano H Santos
681747481-00;Vinicius A Barbosa 
849781933-00;Mateus F Barros
875096189-00;Patryck C Guimarães
275598156-00;Luiz Henrique N Barros
716102270-00;Nicole U Pacheco 
301185847-00;Rodrigo U Gabriel
242366573-00;Luís Otávio Q Maciel
477351205-00;Athos L Gomes 
193138874-00;Victor Henrique F Rodrigues 
726658118-00;Bruno Y Magalhães
380995496-00;Luís Otávio D Villani
137717101-00;Wernen Z de Castro 
185598161-00;Lucas J Rodrigues 
408651348-00;Victor Henrique M Sathler
807826971-00;Mateus W Oliveira
522819493-00;Luis Paulo X Arruda
575201463-00;Lucas M de Paula
163003583-00;Nicole F Furtado 
573968393-00;Joao Victor S Sathler
662658132-00;Lucas L Barbosa 
624417324-00;Isadora B Barbosa 
613631080-00;Willian O Magalhães
772274053-00;Daniela R Araujo
209599553-00;Marcus K Velit 
735914912-00;Douglas H Gomes 
130168282-00;Mateus F Santos
819296323-00;Rodrigo B de Paiva
189228813-00;Mateus J Santos
866413697-00;Willian D Furtado 
371465352-00;Mariana B Barbosa 
846451322-00;Filipe Q Abdalla
408820626-00;Felipe G Heredia 
696657558-00;Luiz Henrique K de Castro 
108923504-00;Bruno E Rodrigues 
618700840-00;Mateus N Bertolini
141428587-00;Willian O Villani
306390773-00;Joao Victor M Duarte de Carvalho
467310651-00;Patryck P Barbosa 
642804871-00;Guilherme Henrique O de Paula
581305514-00;Joao Victor W Castilho 
631689726-00;Filipe K Gomes 
691830985-00;Douglas Z Arruda
726731602-00;Filipe U Furtado 
856014689-00;Guilherme Henrique P Miranda
514270447-00;Guilherme Henrique U Abdalla
677358016-00;Ítalo X Villani
601295737-00;Ana Luiza G Souza 
881081861-00;Alan K da Silva
333219547-00;Guilherme W Gomes 
642116786-00;Wernen S Gomes 
278560260-00;Victor Henrique V Pereira
328099913-00;Rodrigo I Carvalho
653901588-00;Ítalo U Sathler
791762530-00;Guilherme Henrique N Bertolini
867722124-00;Patryck X Candido
854927680-00;Willian U de Castro 
742350090-00;Norton N Gabriel
474165105-00;Alan F de Paula
774870430-00;Nicole Z de Castro 
729802327-00;Caio B de Jesus
108603926-00;Victor Hugo R Araujo
514172736-00;Alan Y Rodrigues 
589324913-00;Felipe F Heredia 
706075299-00;Matheus D Rodrigues 
175571461-00;Ítalo X Barros
751320715-00;Joao Victor Q Costa
593866937-00;Guilherme Y Santos
786677663-00;Bruno J Santos
738993524-00;Luiz Henrique Y Castilho 
249261160-00;Guilherme Henrique I Pacheco 
727884674-00;Felipe I Maciel
502774483-00;Nicole D de Castro 
409311666-00;Isadora Y Santos
288582682-00;Patryck M Furtado 
150015089-00;Guilherme X Oliveira
433265754-00;Isadora I Diniz
365107804-00;Ian A Maciel
644447523-00;Victor Hugo G Miranda
323849822-00;Guilherme Henrique D Silvino 
492225765-00;Vinicius G Cadar
571612942-00;Mateus S Bertolini
522919172-00;Alan R Duarte de Carvalho
831042121-00;Mateus I Costa
398950781-00;Daniela E Silvino 
383499010-00;Filipe C Candido
377824894-00;Alan I Sathler
687406785-00;Joao Victor W Heredia 
530668398-00;Alexander Z Bertolini
311646196-00;Daniela W Souza 
546000958-00;Victor Hugo W Carvalho
587496802-00;Vinicius H Freire
120279339-00;Filipe Q Rodrigues 
273166544-00;Matheus R Velit 
436233033-00;Caio Z Diniz
256436664-00;Athos V Villani
322190483-00;Alexander G Cadar
202906304-00;Pedro M Gabriel
315213722-00;Rodrigo A Gabriel
213247010-00;Luciano Y de Paula
512036215-00;Joao Victor G Freire
621818123-00;Breno N Massula
245580199-00;Ítalo R Heredia 
642830448-00;Luiz Henrique E Barros
644269811-00;Alan M Gabriel
473747411-00;Isadora U de Jesus
126338276-00;Ítalo U Bertolini
612639289-00;Luciano M de Paula
132859513-00;Douglas M da Silva
298630430-00;Daniela T de Jesus
760902615-00;Luiz Henrique I Barbosa 
498291027-00;Breno P Cadar
146012534-00;Filipe T Gomes 
403785269-00;Lucas K Cadar
142512496-00;Victor Hugo J Vasconcelos
847483198-00;Norton J Miranda
601680468-00;Filipe B Velit 
577147045-00;Vinicius C Oliveira
629152269-00;Yuske G Vasconcelos
619327584-00;Nicole H Pereira
489745501-00;Patryck B Castilho 
554715421-00;Luis Paulo A Souza 
183511574-00;Rafael D Araujo
677518117-00;Guilherme Henrique U Arruda
178102730-00;Wernen J Gabriel
831524558-00;Nicole P Vasconcelos
768026795-00;Isadora M Barbosa 
466551339-00;Victor Hugo V de Paula
880001619-00;Isadora A Pacheco 
664673350-00;Alexander L Miranda
287805731-00;Lucas C de Castro 
393492242-00;Mateus X Heredia 
632923136-00;Alex N de Paiva
653854871-00;Ítalo T Vasconcelos
795394360-00;Yuske G de Paiva
536112614-00;Alan W Furtado 
709088185-00;Alexander F Castilho 
741564018-00;Filipe B Diniz
387761491-00;Pedro L de Jesus
545229348-00;Norton U Araujo
262825516-00;Guilherme E Furtado 
281692091-00;Mateus P de Paiva
471497033-00;Felipe B Miranda
434320873-00;Athos O Carvalho
283743145-00;Willian V de Jesus
533029382-00;Marcus E Castilho 
293995194-00;Norton M Diniz
411321517-00;Breno I Pereira
389318981-00;Luis Paulo J de Paula
346153460-00;Felipe L Rodrigues 
515041310-00;Joao Victor H Silvino 
267929212-00;Patryck T da Silva
746562614-00;Rafael C Pacheco 
265523251-00;Ítalo G Pacheco 
798930069-00;Willian Y Pacheco 
162359856-00;Mariana Z Silvino 
456837823-00;Mariana B Souza 
408627699-00;Ana Luiza S Sathler
145572598-00;Alexander W de Paula
184124258-00;Nicole G Gabriel
770792868-00;Isadora K Duarte de Carvalho
629181299-00;Joao Victor Q de Castro 
882441402-00;Douglas Z Cadar
164235160-00;Matheus C Massula
388722546-00;Mariana O de Paula
687182742-00;Alan L Santos
116272472-00;Rodrigo Z Bertolini
476806756-00;Guilherme W Magalhães
569178501-00;Filipe H Pereira
449640646-00;Pedro Y de Paiva
658160910-00;Felipe E Furtado 
273824606-00;Caio W Pereira
663924565-00;Patryck O Heredia 
871027554-00;Victor Hugo P Candido
728655637-00;Vinicius K Abdalla
353628160-00;Wernen G Gomes 
107349090-00;Luciano E Bertolini
267039567-00;Athos L Maciel
627091045-00;Victor Hugo D de Castro 
793206477-00;Douglas I Miranda
220255560-00;Athos D Maciel
864171603-00;Mateus E Barbosa 
189426310-00;Matheus Q Gabriel
860805661-00;Rodrigo H Velit 
638691332-00;Patryck V Oliveira
413717034-00;Luis Paulo X Candido
614837274-00;Athos Q Villani
445540915-00;Nicole Z Magalhães
601333047-00;Guilherme Henrique G de Paiva
589401366-00;Isadora S Velit 
549388505-00;Alex U Massula
773581378-00;Wernen O Souza 
420329568-00;Willian F Sathler
840585162-00;Alexander F Arruda
214904830-00;Luis Paulo O Souza 
723287910-00;Alex R Guimarães
866646462-00;Filipe J de Jesus
748380401-00;Bruno L Barbosa 
799523603-00;Breno Z Heredia 
492144277-00;Athos X Furtado 
767028709-00;Alan I Oliveira
312892365-00;Norton H Furtado 
763341142-00;Victor Hugo S Candido
782348955-00;Guilherme Henrique B Oliveira
820136366-00;Victor Hugo Q Pereira
224422828-00;Norton Z Miranda
437327052-00;Pedro J de Jesus
107981192-00;Mateus Q de Paiva
453042247-00;Mateus O Pereira
593454358-00;Rodrigo Q Vasconcelos
459227459-00;Luiz Henrique H Heredia 
418268471-00;Marcus E Diniz
661146796-00;Nicole O Maciel
512061428-00;Matheus W Magalhães
630417420-00;Guilherme Henrique U Pereira
646558874-00;Ian M Costa
799251397-00;Luís Otávio Y Pacheco 
263724856-00;Guilherme F Diniz
682460448-00;Bruno U Duarte de Carvalho
513086465-00;Isadora O Freire
524471753-00;Wernen G Velit 
200465804-00;Patryck B Heredia 
440863168-00;Luís Otávio D da Silva
785768967-00;Caio Y Gabriel
252507078-00;Bruno H Costa
826493874-00;Alan V Rodrigues 
805501600-00;Douglas X Castilho 
694772493-00;Patryck K Candido
479491481-00;Lucas E de Castro 
768334595-00;Alex T Miranda
733411082-00;Athos A Pacheco 
562807934-00;Guilherme Henrique S Vasconcelos
425984366-00;Douglas I de Paula
475167066-00;Ana Luiza G Candido
783243004-00;Bruno T Vasconcelos
383730168-00;Alexander U Duarte de Carvalho
219381816-00;Patryck R Silvino 
822654429-00;Rafael J da Silva
552936688-00;Luís Otávio G Abdalla
177870758-00;Alex F Vasconcelos
503725496-00;Alan T Freire
561061159-00;Alan G Guimarães
739917835-00;Caio R Diniz
842217630-00;Alan O Villani
338040889-00;Rafael O de Castro 
497365719-00;Lucas U Cadar
350507216-00;Guilherme H Velit 
303588605-00;Vinicius G Miranda
153419682-00;Ian F Rodrigues 
881535423-00;Alexander C de Castro 
686230441-00;Lucas C Miranda
387633711-00;Ian M Diniz
866678735-00;Rafael I Candido
697848105-00;Felipe L Maciel
747388440-00;Caio S Pacheco 
786502432-00;Mateus L Costa
478184570-00;Felipe H Arruda
464226317-00;Victor Henrique Q Massula
570927022-00;Nicole T Bertolini
430636814-00;Alex H Castilho 
358685446-00;Victor Hugo B Magalhães
585359429-00;Bruno G Sathler
364543617-00;Filipe P Furtado 
549704783-00;Mariana S Silvino 
627543491-00;Guilherme I Guimarães
695454548-00;Nicole B de Paula
420746984-00;Victor Hugo P Carvalho
121224551-00;Mateus P de Castro 
518233618-00;Guilherme Henrique C Pacheco 
111022547-00;Filipe X Gabriel
123800060-00;Vinicius V Costa
781340652-00;Luis Paulo S Massula
446645119-00;Victor Henrique U de Jesus
233897465-00;Bruno T Santos
854585328-00;Luiz Henrique H de Castro 
454035635-00;Victor Hugo P Barros
790279384-00;Rodrigo C Araujo
492749908-00;Breno V Candido
152758818-00;Norton E Magalhães
661840273-00;Norton M Silvino 
318072581-00;Alex V Silvino 
133099489-00;Luciano B Barros
270585017-00;Isadora L Freire
604495278-00;Breno K Castilho 
489131466-00;Douglas H Barros
705397632-00;Ana Luiza V de Jesus
154640483-00;Luciano P de Castro 
773443352-00;Guilherme R Barbosa 
667571912-00;Alan X Araujo
628354282-00;Yuske O Araujo
662926252-00;Ian I Maciel
687718951-00;Athos Y Silvino 
125478918-00;Vinicius B Silvino 
386128760-00;Mariana L Diniz
513075085-00;Alan O Santos
104399329-00;Ian U Cadar
333718118-00;Yuske R de Paiva
613697114-00;Nicole H Barbosa 
151486972-00;Wernen N Maciel
239731289-00;Vinicius I Oliveira
838870411-00;Bruno Y Pereira
387347129-00;Alan O Candido
192390252-00;Marcus U Bertolini
819460180-00;Ian S Santos
101545274-00;Yuske M Abdalla
266765591-00;Luiz Henrique G de Castro 
491158172-00;Ítalo Y Souza 
565856184-00;Guilherme Henrique H de Paiva
472126427-00;Luiz Henrique H Bertolini
174675342-00;Joao Victor I Velit 
597196065-00;Mateus N Carvalho
703006527-00;Lucas P Pereira
235195723-00;Willian T Gomes 
581458434-00;Ian I Barbosa 
621609538-00;Caio Y Villani
353217408-00;Guilherme Henrique M Velit 
639449712-00;Wernen N Gomes 
487220505-00;Alex X Miranda
462126265-00;Ítalo R Costa
306985981-00;Filipe C Maciel
386856020-00;Wernen Q Pacheco 
165980999-00;Vinicius T Barbosa 
819224872-00;Filipe K Arruda
